Neighborhood,Junction,Traffic_volume
Pašilaičiai,UkmergėsMykoloLietuvio,39447
Verkiai,GeležinioVilkoMokslininkų,72528
Verkiai,AteitiesBaltupio,44320
Fabijoniškės,AteitiesDidlaukio,42617
Fabijoniškės,AteitiesStanevičiaus,48640
Fabijoniškės,AteitiesFabijoniškių,44109
Verkiai,GeležinioVilkoBaltupioDidlaukio,60493
Fabijoniškės,UkmergėsFabijoniškių,62346
Justiniškės,LaisvėsprRygosBuivydiškių,54629
Justiniškės,RygosJustiniškių,33270
Viršuliškės,LaisvėsprViršuliškių,56611
Šeškinė,OzoBuivydiškių,45456
Šeškinė,OzoUkmergės,55101
Šeškinė,OzoGelvonų,60153
Žirmūnai,KalvarijųKareiviųOzo,86019
Žirmūnai,KareiviųVerkių,58500
Žirmūnai,KareiviųŽirmūnų,62165
Viršuliškės,LaisvėsprJustiniškių,55591
Karoliniškės,LaisvėsprPilaitėsprTNarbuto,65995
Pilaitė,PilaitėsprSidaronių,49142
Žvėrynas,TNarbutoSėlių,47954
Žvėrynas,TNarbutoSaltoniškių,59867
Šeškinė,UkmergėsGeležinioVilko,96318
Šnipiškės,GeležinioVilkoŽalgirio,83064
Šnipiškės,ŽalgirioLinkmenų,43566
Šnipiškės,KalvarijųŽalgirio,53536
Šnipiškės,ŽalgirioRinktinės,49789
Antakalnis,AntakalnioŠilo,49392
Šnipiškės,KonstitucijosprLinkmenų,48524
Šnipiškės,KalvarijųKonstitucijosprŠeimyniškių,56494
Naujamiestis,AGoštautoJTumoVaižganto,36618
Naujamiestis,VKudirkosPamėnkalnio,52371
Naujamiestis,ŠvitrigailosJBasanavičiaus,42359
Vilkpėdė,SavanoriųprŽemaitės,50542
Vilkpėdė,SavanoriųprGerosiosVilties,41784
Vilkpėdė,GeležinioVilkoGerosiosVilties,71942
Vilkpėdė,SavanoriųprVilkpėdės,58024
Vilkpėdė,SavanoriųprSausupio,46806
Vilkpėdė,ŽemaitėsNaugardukoKauno,45987
Naujamiestis,KaunoŠvitrigailos,40828
Naujamiestis,ŠvitrigailosPanerių,45192
Naujininkai,DariausirGirėnoPelesos,55869
Naujininkai,DariausirGirėnoKapsųŠaltkalvių,40790
Naujininkai,DariausirGirėnoEišiškiųpl,48804
Rasos,LiepkalnioŽirniųMinskopl,65537
Rasos,DunojausLiepkalnio,40910
Rasos,AušrosVartųGeležinkelioLiepkalnio,36966
Rasos,DrujosManufaktūrų,35553
Senamiestis,ŽygimantųArsenalo,42265
Senamiestis,ŽygimantųAGoštauto,60973
