Neighborhoods;Junction;Traffic_volume
Paðilaièiai;UkmergësgMykoloLietuvio;39447,00
Verkiai;GeleþinioVilkoMokslininkø;72528,00
Verkiai;AteitiesBaltupio;44320,00
Fabijoniðkës;AteitiesDidlaukio;42617,00
Fabijoniðkës;AteitiesStanevièiaus;48640,00
Fabijoniðkës;AteitiesFabijoniðkiø;44109,00
Verkiai;GeleþinioVilko–Baltupio–Didlaukio;60493,00
Fabijoniðkës;UkmergësFabijoniðkiø;62346,00
Justiniðkës;LaisvësprRygosBuivydiðkiø;54629,00
Justiniðkës;RygosJustiniðkiø;33270,00
Virðuliðkës;LaisvësprVirðuliðkiø;56611,00
Ðeðkinë;OzoBuivydiðkiø;45456,00
Ðeðkinë;OzoUkmergës;55101,00
Ðeðkinë;OzoGelvonø;60153,00
Þirmûnai;KalvarijøKareiviøOzo;86019,00
Þirmûnai;KareiviøVerkiø;58500,00
Þirmûnai;KareiviøÞirmûnø;62165,00
Virðuliðkës;LaisvësprJustiniðkiø;55591,00
Karoliniðkës;LaisvësprPilaitësprTNarbuto;65995,00
Pilaitë;PilaitësprSidaroniø;49142,00
Þvërynas;TNarbutoSëliø;47954,00
Þvërynas;TNarbutoSaltoniðkiø;59867,00
Ðeðkinë;UkmergësGeleþinioVilko;96318,00
Ðnipiðkës;GeleþinioVilkoÞalgirio;83064,00
Ðnipiðkës;ÞalgirioLinkmenø;43566,00
Ðnipiðkës;KalvarijøÞalgirio;53536,00
Ðnipiðkës;ÞalgirioRinktinës;49789,00
Antakalnis;AntakalnioÐilo;49392,00
Ðnipiðkës;KonstitucijosprLinkmenø;48524,00
Ðnipiðkës;KalvarijøKonstitucijosprÐeimyniðkiø;56494,00
Naujamiestis;AGoðtautoJTumoVaiþganto;36618,00
Naujamiestis;VKudirkosPamënkalnio;52371,00
Naujamiestis;ÐvitrigailosJBasanavièiaus;42359,00
Vilkpëdë;SavanoriøprÞemaitës;50542,00
Vilkpëdë;SavanoriøprGerosiosVilties;41784,00
Vilkpëdë;GeleþinioVilkoGerosiosVilties;71942,00
Vilkpëdë;SavanoriøprVilkpëdës;58024,00
Vilkpëdë;SavanoriøprSausupio;46806,00
Vilkpëdë;ÞemaitësNaugardukoKauno;45987,00
Naujamiestis;KaunoÐvitrigailos;40828,00
Naujamiestis;ÐvitrigailosPaneriø;45192,00
Naujininkai;DariausirGirënoPelesos;55869,00
Naujininkai;DariausirGirënoKapsøÐaltkalviø;40790,00
Naujininkai;DariausirGirënoEiðiðkiøpl;48804,00
Rasos;LiepkalnioÞirniøMinskopl;65537,00
Rasos;DunojausLiepkalnio;40910,00
Rasos;AuðrosVartøGeleþinkelioLiepkalnio;36966,00
Rasos;DrujosManufaktûrø;35553,00
Senamiestis;ÞygimantøArsenalo;42265,00
Senamiestis;ÞygimantøAGoðtauto;60973,00
